,location_name,date,location_id,allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,bedover_mean,icuover_mean,deaths_mean,totdea_mean,mobility_composite,total_tests,confirmed_infections,est_infections_mean
38080,Italy,2020-02-04,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,53.604535524268506
38081,Italy,2020-02-05,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,129.762290541351
38082,Italy,2020-02-06,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,224.192448502793
38083,Italy,2020-02-07,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,348.58203033175005
38084,Italy,2020-02-08,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4127322833908895,,,515.001386059775
38085,Italy,2020-02-09,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34016780540125,,,686.032581327536
38086,Italy,2020-02-10,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25954187216179,,,907.895973694531
38087,Italy,2020-02-11,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16995730644328,,,1193.0573872919801
38088,Italy,2020-02-12,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07041921856009,,,1556.08799301725
38089,Italy,2020-02-13,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9598215195522704,,,2013.72631371934
38090,Italy,2020-02-14,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83693381248447,,,2584.85177928763
38091,Italy,2020-02-15,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16897906923298,,,3290.33710959328
38092,Italy,2020-02-16,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5486664345283403,,,4152.6974070303795
38093,Italy,2020-02-17,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38054059827878,,,5195.5231465128
38094,Italy,2020-02-18,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04330355204361,,,6442.65720865019
38095,Italy,2020-02-19,86,3.5645,2.0,2.0,3.5645,2.0,0.0,0.0,0.0,0.0,2.51049829731833,,,7916.99489638397
38096,Italy,2020-02-20,86,8.9085,5.0,5.0,5.343999999999999,3.0,0.0,0.0,0.0,0.0,1.73253406112235,,,9638.95239562589
38097,Italy,2020-02-21,86,17.9005,10.0,10.0,8.992,5.0,0.0,0.0,0.0,0.0,0.642830740576886,,,11624.699619769299
38098,Italy,2020-02-22,86,28.927,16.041,16.007,11.0265,6.041,0.0,0.0,0.0,0.0,-1.65160321352429,,,13884.2323979246
38099,Italy,2020-02-23,86,45.2476571428571,25.094,25.0135,16.320657142857097,9.052999999999999,0.0,0.0,0.0,0.0,-4.1191543039850895,,,16419.4128656786
38100,Italy,2020-02-24,86,68.46242142857139,38.1955,38.0265,23.214764285714303,13.1015,0.0,0.0,7.0,7.0,-5.64832405823106,3551.1006492693105,230.0,19222.0835449801
