allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,bedover_mean,icuover_mean,deaths_mean,totdea_mean,mobility_composite,total_tests,confirmed_infections,est_infections_mean
68.46242142857139,38.1955,38.0265,23.214764285714303,13.1015,0.0,0.0,7.0,7.0,-5.64832405823106,3551.1006492693105,230.0,19222.0835449801
100.12642448605301,55.3155,55.037,33.6640030574817,19.12,0.0,0.0,3.0,10.0,-7.898464995031589,3492.99633402484,93.0,22272.540315860097
136.608358209682,75.4838595238095,75.0551666666667,41.005433723629295,23.1683595238095,0.0,0.0,2.0,12.0,-9.97124693229661,3431.9774678096996,78.0000000000001,25538.6449798717
179.634071219222,98.7237357142857,98.08100952380951,50.3167130095395,28.2398761904762,0.0,0.0,5.0,17.0,-14.7806563740766,3375.60140720512,251.0,28975.6468535734
237.538149135423,131.056079472978,130.12596170741,67.7945779162014,38.332343758692296,0.0,0.0,4.0,21.0,-11.975174976827299,3335.64004554984,239.0,32527.1452689022
311.130158959749,171.48913603920602,170.18741315082,87.498509824326,49.4330565662279,0.0,0.0,8.0,29.0,-12.6713862960075,3330.21831399414,240.0,36126.9273246076
404.192320483601,221.98476851016602,220.24841700285,113.21445914290001,63.495632470960395,0.0,0.0,5.0,34.0,-13.908007688958099,3382.63641539351,567.0,39701.5967455048
514.87607124345,281.681314327829,279.343373489011,139.658638855086,78.69654581766271,0.0,0.0,18.0,52.0,-14.157242599007,3518.26329121221,343.00000000000097,43174.152993676296
651.139895137735,355.607222518984,352.479148985247,173.59548319307498,96.9259081911552,0.0,0.0,27.0,79.0,-14.530717426163001,3761.15192787359,465.99999999999903,46468.1876129193
818.8507181998731,447.756833499344,443.62366945685,213.285200219539,120.14961098036001,0.0,0.0,28.0,107.0,-15.287054815824002,4130.50525766479,588.000000000001,49512.0073298672
1019.42454398815,556.167601319814,550.819364812097,260.394906326856,146.410767820471,0.0,0.0,42.0,149.0,-18.155502500826,4636.01955570739,769.999999999999,52242.315845498
1251.22189847039,680.937115614043,674.043167518953,309.89738658078204,173.81251429422798,0.0,0.0,50.0,199.0,-19.476587106364697,5272.86529528091,778.0,54607.6745128394
1516.84214158022,824.075986567672,815.3245082666341,366.19084474299797,206.191870953629,0.0,0.0,36.0,235.0,-23.0510654987088,6020.18627217281,1250.0,56571.1217606795
1819.29454926707,988.663723167527,977.6634030255819,429.517255849388,242.689236599855,0.0,0.0,135.0,370.0,-28.3886648866743,6847.3152119490005,1493.0,58111.3018480493
2169.20645318617,1177.71670201968,1164.07914927001,506.15977495371396,285.172978852151,0.0,0.0,98.0,468.0,-33.3279037527413,7725.6661867661405,1804.0,59222.39983276441
2553.87365206625,1386.30347693702,1369.5483993377,579.4921677789321,327.755134441148,0.0,0.0,171.0,639.0,-37.51000501855221,8638.1351428875,980.0,59913.518558072596
2978.3929931971397,1613.4958739928197,1593.1236838135098,661.665670396794,372.432273246284,0.0,0.0,199.0,837.0,-52.1884130965104,9580.14257433314,2282.0,60206.9886801179
3434.9682759296998,1860.4315273307998,1835.7836111597198,741.3834524595669,419.268997096673,0.0,0.0,192.0,1030.0,-57.926056841500596,10554.4391106307,2693.99999999999,60135.8770367159
3925.33943436935,2123.94038024464,2094.5028380151502,829.2145661682789,467.939909480062,0.0,189.94038024463902,253.0,1283.0,-62.546406087227105,11565.569985021,2555.0,59741.2472375166
4439.99678537477,2399.22758694322,2364.34607030748,913.261420831078,515.7828391695421,0.0,465.22758694322096,177.0,1460.0,-67.8147715811498,12617.9498013485,3507.0,59068.816465418495
4966.23825971357,2678.17307928013,2637.30767332614,993.566333132382,561.6420381545739,0.0,744.173079280133,372.0,1832.0,-72.2104011796757,13717.267301400501,3607.0,58165.5340844441
5495.066938329529,2958.7449713674396,2911.28404079487,1072.0518002316999,605.497800278458,0.0,1024.74497136744,353.0,2164.0,-67.0933900149671,14872.197739156001,2594.0,57076.8185549557
6023.318886870649,3236.98928187159,3182.40369114534,1146.23326340622,647.39392148451,0.0,1302.98928187159,350.0,2535.0,-69.6466374355577,16093.4271159113,4171.0,55844.713316162
6535.2727594751905,3507.84115905083,3445.58758122346,1213.3293363027499,686.26264499972,0.0,1573.8411590508301,483.0,3009.0,-71.4927753469213,17389.3092190747,3778.0,54506.662515584
7023.58913065578,3763.1002385352795,3692.83913842445,1270.7553313032402,719.068593778676,0.0,1829.1002385352801,430.0,3448.0,-72.84729434320829,18759.8668633563,5761.99999999999,53094.979218035194
7473.676848618149,3998.6943542310705,3920.1222827572496,1318.73139204335,746.782986649419,0.0,2064.69435423107,636.0,4084.0,-73.9064511600831,20192.0266221661,5995.000000000021,51636.8791273428
7871.91766945005,4205.43901192219,4118.4334999129105,1348.26493115884,763.4368942909689,0.0,2271.43901192219,803.0,4887.0,-74.81481887408859,21658.643394739498,6573.0,50154.7210432001
8228.12079753487,4388.38997044545,4292.72930487511,1383.91558403794,783.1259373754131,0.0,2454.38997044545,658.0,5545.0,-75.6499827944417,23122.553095182204,5564.99999999999,48666.0851659438
8517.406940115441,4537.08257882277,4433.0028788763,1393.0778633278198,790.448742818469,0.0,2603.08257882277,608.0,6153.0,-76.4293040387314,24544.9024425207,4790.0,47184.2445883867
8747.63265978523,4652.5307095753205,4540.2604469241105,1404.87186738022,795.879403998835,0.0,2718.5307095753196,752.0,6905.0,-77.1396691168063,25895.19606754,5249.00000000001,45718.931630070096
8912.1306634812,4734.496793419629,4614.46064066242,1400.0776823076,795.2330809409799,0.0,2800.49679341963,690.0,7595.0,-77.76955749947479,27159.130086422596,5207.0,44277.015662907805
9019.519759771909,4784.00328151221,4656.60519535251,1395.20246907069,790.454397572641,0.0,2850.00328151221,671.0,8266.0,-78.3053944521886,28340.6043400306,6148.0,42863.0777193281
9071.82718779693,4807.7219010846,4673.64205477642,1377.33921169104,781.5034587419369,0.0,2873.7219010846,980.0,9246.0,-78.73240437780721,29456.8793499218,5963.999999999971,41479.907903062594
9068.26156884278,4799.57672726149,4659.5515902549705,1354.2591814521302,769.496864331467,0.0,2865.57672726149,899.0,10145.0,-79.0423814427831,30529.7921874832,5976.000000000029,40128.9994383951
9017.79017888775,4770.375597075829,4625.3636398319895,1331.4671102386098,756.29567009279,0.0,2836.3755970758302,766.0,10911.0,-79.235358315325,31577.8940098159,5215.0,38810.9409405377
8928.55440463977,4719.13594340894,4569.95936721711,1300.33360098726,740.1562678176269,0.0,2785.13594340894,822.0,11733.0,-79.31266786450509,32613.011470148598,4044.99999999997,37525.690137465295
8806.03406400778,4651.79922455978,4499.45523786304,1273.62390717584,723.9159261505521,0.0,2717.7992245597798,846.0,12579.0,-79.27692681284921,33641.3565858375,4046.9999999999895,36272.7950046308
8658.33758679698,4571.30444900389,4416.72744084416,1240.53637891991,706.5778182227949,0.0,2637.3044490038897,736.0,13315.0,-79.1408240860737,34666.6798814392,4787.00000000003,35051.5143936797
8488.16672416612,4480.7744447564,4324.90285071387,1210.2357366255,688.250982401929,0.0,2546.7744447564,769.0,14084.0,-78.9163780379464,35692.413227942,4667.99999999999,33861.0039108837
8295.6444412746,4380.355493521961,4223.98839700205,1168.04858246641,667.018943056522,0.0,2446.35549352196,774.0,14858.0,-78.61981619590559,36721.356218847,4583.0,32700.3905994426
8090.09818841527,4271.04012023275,4114.9463388604,1132.0646474419802,645.809564086206,0.0,2337.04012023275,690.0,15548.0,-78.2770701387207,37753.7952223173,4808.00000000001,31568.8845605758
7876.717888301321,4159.05573296598,4003.85239805511,1099.57358568054,627.462355551694,0.0,2225.05573296598,530.0,16078.0,-77.9237627512683,38786.3420829234,4317.0,30465.8312293866
7660.12742931836,4043.15456118649,3889.5671374052795,1066.27014625179,607.977232219346,0.0,2109.15456118649,642.0,16720.0,-77.5989894040475,39813.3677672735,3599.0,29390.7027716792
7434.48318252558,3924.31074113826,3773.1818130074603,1030.39661161751,588.3972608927539,0.0,1990.3107411382603,609.0,17329.0,-77.3467438435392,40830.9910761641,3045.00000000003,28343.0785099708
7211.40890442875,3806.1202397332,3657.79724820389,999.7754741122831,571.259896167584,0.0,1872.1202397332002,546.0,17875.0,-77.2194914105412,41841.230317043504,3840.99999999997,27322.6390231444
6991.45439993982,3692.5321712534205,3547.339436511,970.267619403343,554.9143902621499,0.0,1758.5321712534198,616.0,18491.0,-77.2492432587689,42853.0327780321,4208.0,26329.101606865
6780.7239183336205,3581.6318982048997,3439.75406189659,938.215272639701,536.595591282956,0.0,1647.6318982049,574.0,19065.0,-77.42465364500642,43878.8265799824,3954.0,25362.1883760536
6571.24846809926,3470.51552529995,3332.20252594395,907.4330172558389,518.1732971878309,0.0,1536.51552529995,626.0,19691.0,-77.6822243440687,44928.7941931451,4705.0,24421.6079612262
6362.64603248923,3362.27159645536,3227.65979397274,875.169651475563,501.915338973045,0.0,1428.2715964553602,434.0,20125.0,-77.911986104589,46006.9402543572,4097.0,23507.0411023704
6166.00239991617,3258.9456849478497,3128.08155971528,854.211582158519,487.588014643041,0.0,1324.94568494785,572.0,20697.0,-77.9818991664515,47111.4472834008,3158.0,22618.133386780497
5964.10216760954,3152.61219785414,3025.54153567896,815.397652359384,467.247331129083,0.0,1218.61219785414,609.0,21306.0,-74.1470688975677,48238.2271204974,2968.99999999997,21754.4921710141
5760.803730083399,3045.28918172162,2922.01259559207,784.601409491102,449.931966269407,0.0,1111.2891817216198,585.0,21891.0,-73.6549063750158,49383.86365653019,2673.00000000006,20915.6838709002
5568.941370430401,2943.9821733887898,2824.40829369858,764.6471885949229,437.70893472369596,0.0,1009.98217338879,529.0,22420.0,-72.963404707194,50544.320823935195,3788.99999999997,20101.2259341658
5382.27032415182,2846.43007240138,2730.8641565687803,737.8701378686329,423.260463098791,0.0,912.430072401377,579.0,22999.0,-72.1983617274072,51709.197289407595,3498.00000000003,19310.6036873495
5199.080308276811,2748.94620567948,2637.25875836418,712.578488474541,406.98448882979795,0.0,814.9462056794811,487.0,23486.0,-71.46646602702799,52855.5196777975,3495.99999999997,18543.3031006273
5023.40807104703,2652.78881589821,2544.70620223599,689.817430378303,393.815842438079,0.0,718.788815898214,434.0,23920.0,-74.47029577375059,53946.6056885123,3054.00000000003,17798.847371308602
4851.11599862289,2564.97599913977,2460.15862308668,666.23251806721,381.58644413431,0.0,630.9759991397709,458.0,24378.0,-73.96735898104029,54938.8756357457,2257.99999999997,17076.8188463864
4693.28257263889,2482.0274892443304,2380.62411645257,645.114327362799,369.314386272143,0.0,548.02748924433,540.0,24918.0,-73.59073445694649,55794.6009902417,2725.00000000003,16376.8856629148
4531.614472522199,2394.12612566156,2296.05252818398,615.416176096311,352.013026679384,0.0,460.12612566156304,441.0,25359.0,-73.3429438556465,56494.0749089767,3372.0,15698.8106151998
4372.893154296429,2310.42905262719,2215.5894843155497,596.0822601504229,341.897518248586,0.0,376.429052627193,468.0,25827.0,-73.2162170156183,57039.9108590041,2649.99999999994,15042.4611534372
4218.61133583016,2228.8209820197,2137.0837415528,571.4011361607991,327.565226580343,0.0,294.820982019705,424.0,26251.0,-73.1802456585796,57450.4329817118,3024.0000000000605,14407.8004695444
